Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0391~Immunity	3	16.666666666666664	0.04687407191517805	ENSMUSG00000076609, ENSMUSG00000076934, ENSMUSG00000076617	6	815	11037	6.771165644171779	0.31891350126592377	0.1874962876607122	0.1874962876607122
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	3	16.666666666666664	0.049764682332575055	ENSMUSG00000037053, ENSMUSG00000105906, ENSMUSG00000076617	16	508	21011	7.755044291338582	0.9364840105020052	0.2442993496326412	0.2126309154210025
GOTERM_BP_DIRECT	GO:0050766~positive regulation of phagocytosis	2	11.11111111111111	0.05441701479043554	ENSMUSG00000076613, ENSMUSG00000076615	17	72	20632	33.712418300653596	0.9999976968694776	0.7394312009759182	0.7170241948857389
GOTERM_BP_DIRECT	GO:0030183~B cell differentiation	2	11.11111111111111	0.06028890028032719	ENSMUSG00000076608, ENSMUSG00000076609	17	80	20632	30.341176470588234	0.9999994571363588	0.7596499529535113	0.7366302574094656
GOTERM_BP_DIRECT	GO:0050829~defense response to Gram-negative bacterium	2	11.11111111111111	0.06248203076241003	ENSMUSG00000009281, ENSMUSG00000076617	17	83	20632	29.244507441530832	0.9999996843052777	0.7596499529535113	0.7366302574094656
INTERPRO	IPR050150:IgV_Light_Chain	2	11.11111111111111	0.06500676096283453	ENSMUSG00000076609, ENSMUSG00000076934	15	95	19841	27.84701754385965	0.8576210964462642	0.11782475424513758	0.11782475424513758
GOTERM_BP_DIRECT	GO:0045087~innate immune response	3	16.666666666666664	0.06780939150124302	ENSMUSG00000067149, ENSMUSG00000009281, ENSMUSG00000076617	17	556	20632	6.548455353364368	0.9999999158419248	0.7831984718393569	0.7594651848139218
GOTERM_MF_DIRECT	GO:0003697~single-stranded DNA binding	2	11.11111111111111	0.0687944846211381	ENSMUSG00000067149, ENSMUSG00000076617	14	111	20307	26.135135135135133	0.9623213945722863	0.3164546292572352	0.2751779384845524
UP_KW_LIGAND	KW-0520~NAD	2	11.11111111111111	0.0893120479271003	ENSMUSG00000024747, ENSMUSG00000053279	4	202	6580	16.287128712871286	0.3121743543591685	0.3572481917084012	0.3572481917084012
GOTERM_BP_DIRECT	GO:0090090~negative regulation of canonical Wnt signaling pathway	2	11.11111111111111	0.09974217137200063	ENSMUSG00000055653, ENSMUSG00000002985	17	135	20632	17.97995642701525	0.9999999999741106	1.0	0.9739130434782609
