Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KEGG_2019_Mouse__Butanoate metabolism,-0.6538843556085334,-2.1354397230787803,0.0022026431718061676,0.001,0.004,12/25,5.20%,ACSM3;HMGCS1;ACSM1;ACAT1;ACSM2;EHHADH;HADH;ACAT2;AACS;ACSM5;OXCT1;HADHA
prerank,GO_Cellular_Component_2026__Intracellular Organelle Lumen (GO:0070013),-0.3807606797700952,-2.116970913099205,0.001,0.001,0.008,292/818,17.56%,ACADM;ACSM3;PDK4;ACSM1;APOA4;COL4A3;PDK3;CLPX;SUOX;VWA1;ADHFE1;PDSS1;ERP29;FUCA2;ACADL;GUSB;COASY;ACO2;ACAT1;NFS1;ITIH2;HSPD1;NAXD;SDC2;DERA;GLS;ARPC5;CHRDL1;CTSH;ACOT11;ERP44;COL26A1;ACAD10;PRDX3;CDK1;PSMD12;MCCC1;AGXT2;PDHA1;OXSM;OLFM4;PGM1;ACE2;ARSB;HADH;PNP;DECR1;RTN4IP1;ARSI;NDUFS1;SUMF1;TRAP1;NMNAT3;HYOU1;AADAT;PRORP;ACAD8;GARS1;PSMD14;ALDH4A1;GLUD1;TYMS;SUCLA2;DLD;GFM1;GCDH;OGN;APEH;VCP;NDUFS2;CAT;ADAM17;AASS;SPARC;ELAC2;TRIT1;HIBCH;GPC1;GLB1;CTSL;CS;PDHB;FMO1;OGDH;LACTB2;MECR;TRMT2B;FXN;ABCE1;AK3;METTL15;ACSM5;TIMM44;ATP5F1A;SHISA5;FTH1;OXCT1;FMOD;PSMD2;DNAJB11;ATP5PB;NDUFA9;PTCD3;PMPCB;GFM2;SHMT2;CALU;NIPSNAP1;FASTKD1;P4HA1;LRPPRC;SSBP1;P4HB;ABHD11;APLP2;ATP5F1B;PDIA3;BMP4;AURKAIP1;BCO2;NIPSNAP2;ETFA;ERLEC1;TST;COL4A4;NIT2;GRPEL1;CRTAP;DLAT;GOLIM4;EOGT;HOGA1;PRDX5;RARS2;TSPAN15;ALDH6A1;BDNF;NRDC;PYROXD2;PRKACA;IDH3A;UQCRFS1;ISCA2;PDIA4;ACSF3;DLST;GANAB;APOA1;PDHX;IDH3G;HIBADH;TFAM;ARG2;HSP90AB1;GPC4;ACADSB;ATP5F1C;PSMC2;HMGB1;ACADVL;HSPA9;SOD2;PRKAA2;CCT8;THEM4;HP;RPUSD3;PGK1;CALR;TXN2;HSPA5;CANX;QARS1;PDIA6;SLC27A2;IDH3B;MRPL32;PSMD11;AFP;BDH1;OSTF1;REXO2;GSTZ1;PNPLA2;ERO1A;ACOT9;CYFIP1;PSMA5;ACSS1;SELENOF;SIRT3;PSMD3;GYG1;PSMB1;DBT;GCSH;AMPD3;NAT8L;COL1A1;GPX7;HSP90B1;MCCC2;JUP;DHX30;MTIF2;NUDT9;GOLGA7;IVD;SDHA;KCMF1;PSMD13;PCCB;PPIB;GPX8;MRPS10;GSK3B;PMPCA;LTF;PSMD6;NEK2;EMID1;YPEL5;BCKDHA;PODXL2;TOP3A;NDUFS3;YARS2;MAPK1;HMGCL;SPP2;FLAD1;PSMC3;DEFB1;HPDL;SUCLG1;METTL8;LTBP1;FASTKD5;ECHS1;PSMD7;MINPP1;DNAJC10;ACTR1B;PHYKPL;SOD3;ADAM10;OAT;MSRA;HAGH;ADAMTS7;FAHD1;NSUN4;DARS2;ACADS;FDX1;CANT1;AK4;AP4E1;NOTUM;LYRM4;TSPAN14;RNASEL;CDK5RAP1;POGLUT2;ISCA1;SUPV3L1;RDH5;SARDH;TEFM;YWHAG;SYNE2;POLDIP2;MTERF2;GLYAT;IBA57;PNPT1;GRSF1;HSPA8;TRMT10C;SUCLG2;TOR1A;SERPINI1;ACTR10;NSUN3;GSR;MTERF3;GLDC;GLRX5;PCK2;COL1A2;PCCA;DNAJA3
prerank,KEGG_2019_Mouse__Cysteine and methionine metabolism,-0.5699317109841782,-2.1117995326808257,0.001,0.001,0.005,17/41,14.29%,BCAT1;MAT2A;CDO1;GSS;AGXT2;AHCY;BHMT2;AHCYL1;ADI1;TST;MDH1;LDHA;MAT2B;SMS;MTR;KYAT1;CTH
prerank,KEGG_2019_Mouse__Human T-cell leukemia virus 1 infection,0.4610652149904536,2.1079426822679768,0.001,0.001,0.002,60/209,11.77%,ITGAL;H2-AB1;CDKN1A;H2-AA;H2-D1;H2-K1;H2-EB1;CREB3L3;CD3D;CD3E;H2-DMA;ITGB2;H2-Q2;BAX;LCK;TNFRSF13C;ICAM1;H2-DMB2;FOS;IL2RB;ADCY7;NFKB2;H2-OB;B2M;H2-DMB1;SPI1;PIK3CD;H2-OA;CD4;JAK3;ESPL1;CD3G;TGFB3;H2-M3;CREB1;ANAPC1;TGFB2;IL2RA;H2-Q7;H2-Q6;NFKB1;TGFBR1;H2-Q10;TLN2;CDKN2B;TLN1;SRF;RELB;H2-Q4;PIK3R3;RB1;CCND1;TNFRSF1A;CREB3L4;TGFB1;H2-T23;IL2RG;MYC;H2-M2;H2-T24
prerank,KEGG_2019_Mouse__Proximal tubule bicarbonate reclamation,-0.692182186056755,-2.1044143731339275,0.001,0.001,0.006,12/20,11.82%,GLS;PCK1;GLUD1;CAR4;CAR2;SLC25A10;ATP1B1;MDH1;ATP1B3;ATP1B2;SLC38A3;ATP1A2
prerank,KEGG_2019_Mouse__Collecting duct acid secretion,-0.6438790274500894,-2.099787126017898,0.001,0.001,0.006,19/25,21.57%,ATP6V0D2;ATP6V1A;ATP6V1C2;ATP6V1G3;ATP6V0A4;CAR2;ATP6V0D1;ATP6V1E1;ATP6V0A2;ATP6V1B2;ATP6V0E;ATP6V1B1;ATP6V0A1;ATP6V1D;ATP6V1G2;ATP6V0E2;ATP6V1C1;ATP6V1G1;ATP6V0C
prerank,KEGG_2019_Mouse__Epstein-Barr virus infection,0.46679040567289876,2.0852400818306327,0.001,0.001,0.002,68/184,15.77%,ITGAL;H2-AB1;CDKN1A;H2-AA;H2-D1;H2-K1;H2-EB1;CD3D;CD3E;H2-DMA;H2-Q2;BAX;CD44;ICAM1;H2-DMB2;CD19;NFKBIE;CXCL10;NFKB2;H2-OB;B2M;FCER2A;H2-DMB1;PIK3CD;H2-OA;VIM;JAK3;CD3G;TAP2;TRAF3;H2-M3;ISG15;OAS2;H2-Q7;H2-Q6;NFKB1;IRF7;MDM2;H2-Q10;TAP1;RBPJ;RELB;H2-Q4;SYK;PIK3R3;RB1;MAPK11;TRAF6;CCND1;STAT3;APAF1;H2-T23;SKP2;MYC;H2-M2;H2-T24;RUNX3;AKT1;OAS3;CD247;MAPK12;CIR1;TAPBP;BTK;NFKBIB;H2-T10;MAPK8;MAPK10
prerank,KEGG_2019_Mouse__Rheumatoid arthritis,0.5171076029723398,1.9493937779475308,0.001,0.001,0.033,29/68,11.13%,ITGAL;H2-AB1;CCL2;H2-AA;H2-EB1;TNFSF13B;H2-DMA;ITGB2;MMP3;CCL5;ICAM1;H2-DMB2;LTB;FOS;CD86;H2-OB;H2-DMB1;H2-OA;CD28;TGFB3;TGFB2;CCL20;CTLA4;CSF1;TCIRG1;TLR4;CD80;TGFB1;CTSK
prerank,KEGG_2019_Mouse__Malaria,0.6106032878245724,2.0793941169309296,0.001,0.001,0.002,17/37,10.75%,ITGAL;VCAM1;CCL2;ITGB2;ICAM1;THBS2;TLR9;THBS4;TGFB3;TGFB2;CD81;SELP;TLR4;SDC1;HGF;THBS1;TGFB1
prerank,KEGG_2019_Mouse__Osteoclast differentiation,0.4915675461307778,2.0754349249136097,0.001,0.001,0.002,42/111,15.77%,TREM2;SOCS3;TYROBP;LCK;SIRPA;FOS;LCP2;CALCR;JUND;NFKB2;PIRB;LILRB4A;SPI1;PIK3CD;JUNB;CREB1;TGFB2;NCF4;NFKB1;TGFBR1;ITGB3;RELB;SYK;PIK3R3;CAMK4;MAPK11;CSF1;TRAF6;TNFRSF1A;SIRPB1A;SIRPB1B;TGFB1;CTSK;FYN;AKT1;SOCS1;MAPK12;FOSL2;BTK;LILRA5;MAPK8;MAPK10
