age3_SRR9126950,age3_SRR9127139,age3_SRR9127244,age18_SRR9126754,age18_SRR9126924,age18_SRR9127382,age18_SRR9127568
ENSMUSG00000102693,7.4281446683255,7.64153375071316,7.62783379095762,7.31078689763854,7.52456218647317,7.30975748792109,7.43069152363921
ENSMUSG00000051951,7.67096647673581,7.61800919242623,7.68302101325036,7.96748718942782,7.88146433807323,7.59064025905805,7.82480146012951
ENSMUSG00000103377,7.54057051620929,7.49167562693545,7.62783379095762,7.73335607627697,7.59613228150425,7.15534755650263,7.58972305960448
ENSMUSG00000104017,7.54057051620929,7.15534755650263,7.62783379095762,7.74344890730114,7.71161985892239,7.37361220162875,7.35019265547376
ENSMUSG00000103025,7.64176203741233,7.52361074226693,7.32304978962612,7.90862422989364,7.61746851271707,7.42253904598884,7.8773860856426
ENSMUSG00000103201,7.67096647673581,7.8069058575088,7.59756260290769,7.79138688322453,7.66680487319463,7.15534755650263,7.58972305960448
ENSMUSG00000103161,7.45409316933013,7.33985369306224,7.52950286410477,7.4657774142383,7.54990188187938,7.44387888546462,7.58972305960448
ENSMUSG00000102331,7.45409316933013,7.76319631259428,7.59756260290769,7.50225228685918,7.57367397133273,7.56271815872986,7.63082655947988
ENSMUSG00000142494,7.27749148147905,7.60576991475908,7.65621831015505,7.53518083471252,7.63783166088672,7.15534755650263,7.66854110995484
ENSMUSG00000025900,7.85047688930405,7.95005365019943,8.36409480200578,8.3988969788816,7.82052621860847,7.59064025905805,8.00412029945298
ENSMUSG00000025902,8.81942282581747,9.0658620796374,8.82112742338138,8.97215468651849,9.19921839493101,9.42065866815254,9.11488549118956
ENSMUSG00000104238,7.32803363963998,7.60576991475908,7.39238118347613,7.71259271705718,7.70296360709624,7.30975748792109,7.79677090502417
ENSMUSG00000104328,7.45409316933013,7.58019984480026,7.79984854013182,7.78211005960216,7.60693051310761,7.15534755650263,7.15534755650263
ENSMUSG00000098104,7.4281446683255,7.61800919242623,7.32304978962612,7.57971013942706,7.57367397133273,7.37361220162875,7.63082655947988
ENSMUSG00000135930,7.93755109572291,7.88604021164237,7.84072756844318,7.77268505086566,8.07324444144634,7.8397827756835,7.68635599855911
ENSMUSG00000103922,7.64176203741233,7.5385619272653,7.77833357613211,7.70190019767733,7.57367397133273,7.39931683688103,7.66854110995484
ENSMUSG00000033845,9.92747338586294,9.95576753224205,9.74693662512351,9.83579062726577,9.94443361225957,9.70762205724022,9.72401099521991
ENSMUSG00000120403,7.68494109802138,7.5385619272653,7.15534755650263,7.34567513540741,7.59613228150425,7.46372742373625,7.56758675153254
ENSMUSG00000136002,7.3667809633804,7.71587509564503,7.44549069878923,7.64477733153368,7.41677693645685,7.53267725134233,7.75209379665795
ENSMUSG00000025903,13.9994485834837,13.6980986421188,13.7442535637473,13.3490668503384,13.3386432518584,13.5287215690059,13.2794821418071
ENSMUSG00000033813,10.2208185149757,10.1663829062875,10.3520693647285,10.077376854051,10.1859163718205,10.2345993017675,9.87740032128902
ENSMUSG00000091665,7.54057051620929,7.15534755650263,7.15534755650263,7.65674503363906,7.43477290072783,7.15534755650263,7.56758675153254
ENSMUSG00000033793,11.7785811806136,11.7156424320085,12.0143502268309,11.7745816818676,11.6087278482371,11.5240142555083,11.5730006730957
ENSMUSG00000143188,7.57708961083613,7.64153375071316,7.75599944857265,7.37506591685896,7.35308527493033,7.46372742373625,7.519181533857
ENSMUSG00000025905,7.52091002849842,7.52361074226693,8.10218164142844,7.42431692759427,7.61746851271707,7.49996359003676,7.650057331505
ENSMUSG00000090031,9.36915582819817,9.26761590164926,9.23929784628992,8.91114040549313,9.20619365429797,9.14324514160635,9.24250410034659
ENSMUSG00000025907,11.3742626511044,11.1559192467485,11.3469866680255,11.3486603817139,11.0884041940647,11.2729237463775,11.23605838211
ENSMUSG00000103845,7.15534755650263,7.5385619272653,7.56498630754562,7.72307417543966,7.65734026570699,7.15534755650263,7.54415627030192
ENSMUSG00000033740,7.55925372412111,7.69572475161982,7.915466012501,7.80952116539018,7.79142811536336,7.57691698408136,7.85162828997872
ENSMUSG00000120372,7.47793409765739,7.49167562693545,7.77833357613211,7.77268505086566,7.58505418419806,7.61682852541026,7.54415627030192
ENSMUSG00000051285,11.4449375310576,11.2477575742678,11.4342609031675,11.2986266533122,11.3435691409361,11.5975455406368,11.4219691523348
ENSMUSG00000103509,7.68494109802138,7.43693028358633,7.62783379095762,7.64477733153368,7.77633371537201,7.48235636625975,7.78225386107777
ENSMUSG00000097797,7.93755109572291,7.8069058575088,7.59756260290769,7.66842279091467,7.64768632126158,7.15534755650263,7.650057331505
ENSMUSG00000104226,7.55925372412111,7.45630419594935,7.15534755650263,7.69098395454635,7.65734026570699,7.37361220162875,7.519181533857
ENSMUSG00000025909,8.10040879906198,7.92935809134728,7.73275084368912,8.42021220363993,7.99463044999439,7.86449785902562,7.90218595106645
ENSMUSG00000102253,7.3667809633804,7.55293865517904,7.62783379095762,7.64477733153368,7.63783166088672,7.15534755650263,7.54415627030192
ENSMUSG00000102871,7.45409316933013,7.4161014300003,7.73275084368912,7.55059613047017,7.45166523079502,7.37361220162875,7.73639217126511
ENSMUSG00000079671,8.85865387493987,8.7127262420615,8.89397395346275,8.72608977689933,8.58084200549624,8.48908585973534,8.77930225231952
ENSMUSG00000061024,9.09976176330058,9.38002514491749,9.39960528328181,9.3182881130825,9.31295656585964,9.34097558648024,9.14002949030027
