age3_SRR9126950,age3_SRR9127139,age3_SRR9127244,age18_SRR9126754,age18_SRR9126924,age18_SRR9127382,age18_SRR9127568
ENSMUSG00000000001,11.2011280249361,10.962106296295,11.1248046464461,10.8154368781666,10.9232801874798,10.8860812236844,10.4663341117162
ENSMUSG00000000049,7.6783332710332,7.63303196195626,7.13699282394972,7.46522107722981,7.60422420148744,7.86131142622476,7.68319025277299
ENSMUSG00000000056,9.94494160705079,9.92651514176787,10.0607776082206,9.84486475055905,9.73023074915547,9.85108103983017,9.74176512886303
ENSMUSG00000000058,10.1257487442827,10.1052213323865,10.0768540739238,9.60930490376892,9.75363744914749,10.0029908944231,9.60118036819759
ENSMUSG00000000078,8.85133114997014,8.93864889887167,8.45617313037599,8.75597339039657,9.16322555189651,8.73807946618009,8.66590523869884
ENSMUSG00000000085,8.40519228810979,7.68446589482719,7.29852338666431,7.93478111965805,7.49626606137456,7.70928500352117,8.04507001037061
ENSMUSG00000000088,11.2048639892488,11.3229400800312,11.3012396027921,11.00058067314,11.1648921554695,11.3298301943948,11.114212487082
ENSMUSG00000000093,9.03573806383976,9.15590063249463,8.97002438521994,8.93436583716024,8.81069683195707,9.40790621322438,9.02491615492579
ENSMUSG00000000120,7.1992320610685,7.18935622371747,6.65110632877951,6.96301751140118,7.25763325018624,7.46312864095556,7.07144967019545
ENSMUSG00000000126,6.82070783574632,6.88053996134745,6.55473488563149,6.9748488733213,6.76435697010593,6.90832596810853,6.48134385742919
ENSMUSG00000000127,7.78351783898296,6.93340408223614,7.20933684492631,7.23984544254534,7.18493175419938,7.05431963429811,7.55107316629809
ENSMUSG00000000131,9.86349164737355,9.80165515421715,9.78531970728778,9.61514695784968,9.72700899768017,9.32495651187145,9.60984493448151
ENSMUSG00000000134,8.39622373881324,8.17347429372126,7.79340514928328,8.49078444410588,7.97131773019435,7.51189638233065,8.04507001037061
ENSMUSG00000000142,6.24254996532856,6.15652915465773,6.6047416993901,6.4369957774251,5.91933381195729,5.91933381195729,6.65937300704446
ENSMUSG00000000148,7.82599107144858,7.70320342121252,6.9739030090275,8.28778359041655,7.31237289129992,7.23327168441234,7.63766493893509
ENSMUSG00000000149,11.4448937901064,11.4678435562199,11.2966827999956,10.868115817389,11.1158663577276,11.2396257067918,10.8786352886941
ENSMUSG00000000154,13.1957615603492,13.0444184537969,12.6901290812673,12.795695308753,13.0154289549476,13.2179595555744,12.589298050676
ENSMUSG00000000157,6.76415051240625,6.76342618338784,6.84617523770266,6.91404456507406,7.08186512146013,6.96419114658748,6.84144964279328
ENSMUSG00000000159,8.58887193242564,8.6754241248494,8.41341732761774,8.24557201645291,8.50602285525419,8.51741488697578,8.43661467043234
ENSMUSG00000000167,6.80230596096609,6.82412147484243,6.1804801938271,6.68235213428323,6.83366907821656,6.59310509914793,6.7998491071927
ENSMUSG00000000168,11.4188644454867,11.488581152228,11.3841153248332,11.2645836561581,11.0234438250525,11.4218086863717,11.0789526298682
ENSMUSG00000000171,11.778489535815,11.7745037270129,11.7061223098551,11.3833964162618,11.638161378661,11.7816607637195,11.4527662808822
ENSMUSG00000000184,6.58758006600921,6.89406562547627,7.00313191282187,6.59180470421583,7.0478283777294,6.83292755763003,7.28203469816693
ENSMUSG00000000194,9.77207429434598,9.58962651955357,9.93702680491659,9.92919644404478,9.65422619967307,10.1517680276298,9.39334694783583
ENSMUSG00000000197,6.83869581518885,6.77904995482206,6.84617523770266,7.42064968450145,6.93752307914227,6.2228393483063,7.07144967019545
ENSMUSG00000000216,9.60030970846644,9.78154407972693,9.63384923470698,9.33761173184943,9.22730416771215,9.71551500416286,9.3051678709698
ENSMUSG00000000244,6.90695852312439,6.20967468270402,6.65110632877951,6.69909924141186,6.70134821817929,7.30268388786485,6.7329618909351
ENSMUSG00000000248,6.24254996532856,6.56426830179551,6.91240849920202,6.28635240623231,6.94724840036011,6.41345210716068,6.11913344317798
ENSMUSG00000000266,8.37810618019541,7.96990842776444,7.90045865566029,8.07077161600553,7.95976055592572,8.28022646725854,8.42155142384353
ENSMUSG00000000275,6.53486160505088,6.42054365032491,7.29852338666431,5.91933381195729,6.96638425872669,7.34041254644145,6.84144964279328
ENSMUSG00000000276,7.68615424138895,7.84363324966497,7.6915178403666,7.17519803289746,7.93632858239796,7.8126730365588,7.81841585437801
ENSMUSG00000000278,11.4678731339122,11.4703478784465,11.333852412271,11.1920856215487,11.0965250526336,11.3961226003927,10.9685160784093
ENSMUSG00000000282,8.16612473996915,8.03819617260822,8.06854005399725,7.57625252443472,7.93238114473238,8.63216340704246,8.11042544902753
ENSMUSG00000000290,6.53486160505088,6.25440302827545,5.91933381195729,6.5720669078619,6.77634559258921,7.28331145310348,7.35563645875084
ENSMUSG00000000295,6.24254996532856,6.60517384728164,7.45745752742017,6.48580510520723,7.17737058448783,6.16729694975683,7.02333951302344
ENSMUSG00000000296,7.66253805422554,8.15187419946034,7.73622220296192,7.84778121851576,7.93632858239796,7.92526585167359,7.7009312577719
ENSMUSG00000000301,6.44532994669835,6.29374353499046,6.65110632877951,6.53054942119376,6.53824832395254,6.41345210716068,6.60552684030312
ENSMUSG00000000308,9.71883525287768,9.55997338533886,9.5205041109082,9.142244156673,9.37928307288788,9.5327120738928,9.216840695824
ENSMUSG00000000318,6.18342209247475,6.77904995482206,6.69448533072865,6.46197511587042,6.27848260217102,6.16729694975683,6.44545623342424
ENSMUSG00000000320,7.17490281919112,7.30936791770015,7.05895015575095,7.15594877961114,7.24349437182689,7.37687811854109,7.34371140199937
ENSMUSG00000000326,8.82852481493117,9.26093922373848,9.32249993441379,9.21363782946914,8.86513283141448,8.57772505197181,10.0880564379591
ENSMUSG00000000346,6.93913769345857,6.86679302562189,7.03145802124194,7.08547780878703,7.18493175419938,6.63577020905492,7.13205805627531
ENSMUSG00000000355,8.34580319708024,8.37581882449416,8.56143590594015,8.05734821883783,8.00910827078619,8.59153814741587,8.20866336297616
ENSMUSG00000000359,7.31300001924905,7.89778228195327,7.38084394557821,7.68981296078227,7.84651711559432,8.00761013627278,7.56101393544296
ENSMUSG00000000365,6.29229328442299,7.09717507566342,6.43951753923513,6.74712159465053,6.73979462177953,5.91933381195729,6.44545623342424
ENSMUSG00000000374,9.02150307548912,8.78894294202385,8.836102891212,9.03008186774342,8.7941501900229,9.16126895975994,9.19386905078176
ENSMUSG00000000378,6.74433379088276,7.40137017113421,6.37043055089413,6.87540330649604,7.1543416390634,6.89377873289305,7.47900262138824
ENSMUSG00000000384,8.35511188191108,8.25651545467903,8.513859266906,8.25334680653201,8.00537868493747,8.13899687286291,7.71841747597474
