,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000002250,27.64133956016521,2.589629568150943,0.6809549721604984,3.8029380414606586,0.00014299012683705126,0.038758818835821315,Ppard
ENSMUSG00000002985,2934.5476776813493,0.9165249223842535,0.20184268739498595,4.540788344690962,5.604427279265609e-06,0.0029179636771583207,Apoe
ENSMUSG00000004668,168.07685557262855,1.2774529272376016,0.2556922596474849,4.996056310029827,5.851458106900167e-07,0.00044498713497946076,Abca13
ENSMUSG00000009281,274.01765870537616,1.2348397731430538,0.22151354279544413,5.574556560107759,2.4816117157897727e-08,2.717563357727064e-05,Rarres2
ENSMUSG00000013415,144.45098621359364,1.3144239398270252,0.32886508951007315,3.996848500353712,6.419135326712448e-05,0.020921031885643655,Igf2bp1
ENSMUSG00000015451,43.06394923167903,2.5676104016597288,0.632448648100068,4.059792695222069,4.911630362604107e-05,0.017020975245191475,C4a
ENSMUSG00000018168,32.118485244001945,2.9722179580433994,0.6776967910803303,4.38576365885594,1.1557956298301592e-05,0.005172051107146922,Ikzf3
ENSMUSG00000020542,13.098614407178136,6.723678361048236,1.567823581209133,4.2885426916865335,1.798492340788285e-05,0.007240783060847187,Myocd
ENSMUSG00000022957,87.02609171129302,1.534251508626683,0.3934371108863382,3.899610550642539,9.634753809009954e-05,0.028362436024652205,Itsn1
ENSMUSG00000023067,175.42009677452842,0.9173841470332655,0.24571997752786376,3.733453650219537,0.0001888719638774548,0.04832474537451476,Cdkn1a
ENSMUSG00000024670,16.194645307810536,3.5932855086570807,0.9413361685036261,3.8172181510555006,0.00013496482843807585,0.03732254654696164,Cd6
ENSMUSG00000024677,40.83991658003736,2.794076541925817,0.6338186663276293,4.408321638923651,1.0417476017447563e-05,0.004833885439485795,Ms4a6b
ENSMUSG00000024747,155.62520356256164,1.6287307676826561,0.35882090968350216,4.5391188855724085,5.648978152806772e-06,0.0029179636771583207,Aldh1a7
ENSMUSG00000026355,31.644850251666096,2.4859383877829964,0.616326756769624,4.033474712038523,5.49580974383758e-05,0.018575158439140916,Mcm6
ENSMUSG00000027952,10.690849985139819,6.4094980255476,1.550982276407504,4.132541114779039,3.587745637034604e-05,0.013132617096863924,Pmvk
ENSMUSG00000028576,13.69318074627898,6.771479810375057,1.3536697804483082,5.0023129039140395,5.664654844299688e-07,0.00044308930192112154,Ift74
ENSMUSG00000029017,66.18507966812804,2.1229021336412344,0.510995561159388,4.154443394429146,3.2608032556749814e-05,0.01239875149036305,Pmpcb
ENSMUSG00000031497,39.330163776868616,2.4136979263018548,0.4938040588227137,4.887966964176826,1.018826212662348e-06,0.0006973101306014276,Tnfsf13b
ENSMUSG00000035681,54.440582017059754,1.619261103411189,0.40663210117180626,3.9821280679634157,6.830095736526418e-05,0.021998533056339264,Kcnc2
ENSMUSG00000036062,28.874362008299208,3.1481531298271737,0.8361957618928313,3.764851812571908,0.00016664788328048255,0.04417534856477264,Phf24
ENSMUSG00000036887,281.5604328157537,1.1810381161261811,0.2934449182032912,4.024735283737263,5.7039441022616674e-05,0.01904352166922167,C1qa
ENSMUSG00000037053,1169.3833960636373,1.005266645346416,0.2025678839385478,4.9626161156493085,6.954996115312346e-07,0.0004882228939715541,Azgp1
ENSMUSG00000037894,29.59562649730796,3.8779617958268373,1.0074141607605562,3.849421565505031,0.00011839708752538462,0.034119548054552154,H2az1
ENSMUSG00000039710,148.9082166883168,2.486504337514196,0.4916054503933168,5.057926708348796,4.2383925901616724e-07,0.00036260773106517534,Slc7a12
ENSMUSG00000041801,167.30126699569612,1.3245520226405536,0.30271447117109357,4.375582103876097,1.2110884453525373e-05,0.005262852121970859,Phlda3
ENSMUSG00000045625,31.645004444250876,2.4826648986363606,0.6635449228623747,3.741517436267519,0.00018291248435170599,0.047691381753301475,Pigz
ENSMUSG00000045917,12.728871158062944,6.6868549623390265,1.4205071431536906,4.707371585258933,2.5093125398865213e-06,0.0014019887633565978,Tmem268
ENSMUSG00000053279,130.523929811285,1.7068741729043924,0.3360302950688984,5.079524667722061,3.7838039380568135e-07,0.0003452973347072713,Aldh1a1
ENSMUSG00000056476,14.509522538915434,4.565052288157661,1.1039780659422278,4.135093285808591,3.54810477177867e-05,0.013132617096863924,Med12l
ENSMUSG00000067149,353.86629664308856,4.954452633946029,0.7489728996971117,6.614995864269099,3.7156213302562075e-11,9.247505923493109e-08,Jchain
ENSMUSG00000069516,914.8602718092462,1.633891984463257,0.34568472772662806,4.7265379503700835,2.2838012519240067e-06,0.001302575559873407,Lyz2
ENSMUSG00000073418,256.81674117290174,2.1666133257061686,0.28619015507478013,7.570537585892998,3.716828708348065e-14,1.695926992474083e-10,C4b
ENSMUSG00000076549,10.747855507786943,6.43305155077863,1.5071025584192248,4.268489569499605,1.9680102828152112e-05,0.0078084373206713095,Igkv4-68
ENSMUSG00000076577,20.388113171670934,5.442282109318115,1.2977599393968973,4.193596938927923,2.7456566290712042e-05,0.010587019934377797,Igkv8-30
ENSMUSG00000076583,10.475176053894245,6.382539243724661,1.5486707242157212,4.121301671119864,3.767377176098773e-05,0.01339473830520209,Igkv8-24
ENSMUSG00000076609,1916.9119286841524,5.97817679177707,0.7168160748751815,8.339903360590853,7.435127284611791e-17,6.785049322360566e-13,Igkc
ENSMUSG00000076612,238.9344785398081,8.651827345144477,1.286078418088656,6.727293781978435,1.7284754076067124e-11,5.257830137116551e-08,Ighg2c
ENSMUSG00000076613,226.6961646941368,8.103624779993298,0.865092609439139,9.367349450883736,7.43767998093544e-21,1.0181068241903477e-16,Ighg2b
ENSMUSG00000076614,174.9422606976077,7.2179016035825505,1.2652623058929404,5.704668170359048,1.165699549336036e-08,1.5956678281086327e-05,Ighg1
ENSMUSG00000076615,45.660743900537454,8.523935611006277,1.3179552090473903,6.467545750031462,9.96073892988339e-11,2.0976549975647505e-07,Ighg3
ENSMUSG00000076617,2281.756844066235,5.528925399298268,0.7557702789205523,7.315616336745993,2.5620270365329215e-13,1.0020087739880255e-09,Ighm
ENSMUSG00000076934,47.08058278606547,6.010798689698224,0.9690329481022827,6.202883711507997,5.543780459925718e-10,9.48575485321165e-07,Iglv1
ENSMUSG00000076937,46.05977420629737,4.811771298878267,0.9145615729689502,5.261287420220125,1.4305021289247351e-07,0.0001350443337364568,Iglc2
ENSMUSG00000079492,288.36764797038717,0.9432122849729841,0.24796950213626054,3.803743108919435,0.00014252598481000357,0.038758818835821315,H2-T15
ENSMUSG00000085391,6.691874246922552,5.749136368498609,1.5277622044917125,3.76310943653129,0.00016781372139885138,0.04417534856477264,Gm16150
ENSMUSG00000093861,20.188274170397666,6.374825873549705,1.4288993128049594,4.461354146105499,8.144336901495966e-06,0.00398156270271884,Igkv1-110
ENSMUSG00000093894,102.73844825903339,9.688252478565866,1.7929698031020824,5.403466618235214,6.536512496461204e-08,6.391075093414942e-05,Ighv1-53
ENSMUSG00000094075,18.420577828069977,6.246659159156644,1.5759179507448389,3.9638225811212027,7.375907904180722e-05,0.022946617124176776,Ighv1-80
ENSMUSG00000094335,15.043088020371723,5.094299939760387,1.162322599745961,4.382862331743189,1.1713013428904157e-05,0.005172051107146922,Igkv1-117
ENSMUSG00000095079,365.1457980307162,4.70743241187489,0.41896994123643494,11.2357282672419,2.722396378891385e-29,7.453104566490945e-25,Igha
ENSMUSG00000095351,74.77285233911607,9.229129964045619,2.2566892886332743,4.089676860049743,4.319745800252255e-05,0.01516175394532128,Igkv3-2
ENSMUSG00000095589,30.996909105355552,7.960838734320277,1.4179761094479673,5.614226277352102,1.9744370390636134e-08,2.4570074008383884e-05,Ighv1-55
ENSMUSG00000096074,23.750270273866846,6.603076998455466,1.3125868120481226,5.03058307294145,4.889904558832091e-07,0.00039373799149160633,Ighv1-72
ENSMUSG00000096422,7.008492883799727,5.807305441651326,1.4598172425057658,3.9781044315404355,6.946686204362198e-05,0.022113887001956267,Igkv12-44
ENSMUSG00000096833,127.14586791083524,9.024173947938213,1.9290755105293216,4.677978595800046,2.8971677942892057e-06,0.0015863152540851117,Igkv4-55
ENSMUSG00000096852,5597.433153844178,2.1160305602936282,0.30139570776563157,7.020772047421046,2.2064558833294877e-12,7.550767839738923e-09,Cyp2d12
ENSMUSG00000102439,116.19256963261614,2.527107397100398,0.4103902660089128,6.157815149167097,7.375537132173203e-10,1.187765176867681e-06,Flg
ENSMUSG00000105906,49.45789414607362,3.1899580881471397,0.5787449023147325,5.511855180734498,3.5507102733406105e-08,3.600288709379478e-05,Iglc1
ENSMUSG00000106334,257.0418149278177,1.4527163521356172,0.3290945569436778,4.414282526052959,1.0134553570682127e-05,0.004783684019044217,Gm43549
ENSMUSG00000110631,1741.3539700326435,1.268164990967847,0.26632017383964324,4.761805959662052,1.918681256028513e-06,0.001128711734848358,Gm42047
ENSMUSG00000110866,309.88284783001893,1.415722039921004,0.2213451746912424,6.39599233141547,1.5950800907396598e-10,3.1191791174414046e-07,Gm48362
ENSMUSG00000112324,693.0395721413469,1.5220607969138202,0.1980659668375113,7.684615490567763,1.534571878107635e-14,8.402394861390544e-11,Gm47939
ENSMUSG00000112478,650.7221791699515,1.4179181641189567,0.2166986383043932,6.543272146118561,6.018715782112714e-11,1.3731198497241648e-07,Gm47761
ENSMUSG00000113495,83.88164021590607,1.571253085357327,0.3504210147825772,4.483900848047681,7.329072778206541e-06,0.0036947479727974667,Gm19792
ENSMUSG00000121730,49.2658954719631,1.6997100226689563,0.3838788020593105,4.427725661200603,9.52319183405046e-06,0.0045739723305403416,Gm60781
ENSMUSG00000121898,59.721156019076034,1.4422426370370682,0.3753762654514762,3.8421252747624846,0.00012197354942847027,0.03442546250209516,Gm9732
ENSMUSG00000126371,62.92350362938878,1.383394909835586,0.3499079263431053,3.9535969484700555,7.698504980798782e-05,0.023681120321272838,ENSMUSG00000126371
