Geneid,age3_SRR9126950,age3_SRR9127139,age3_SRR9127244,age18_SRR9126754,age18_SRR9126924,age18_SRR9127382,age18_SRR9127568
ENSMUSG00000102693,6.327539018762793,6.576044590803358,6.6300290625478135,6.310170238628665,6.39621158968824,6.307780035957115,6.354851450876709
ENSMUSG00000051951,6.602208919927719,6.576044590803358,6.6300290625478135,6.94275881559012,6.882640044217385,6.560778337349742,6.774132679145908
ENSMUSG00000102851,6.080619656854448,6.080619656854448,6.507210833144549,6.361612855848074,6.3630058089366806,6.080619656854448,6.080619656854448
ENSMUSG00000103377,6.470324251371586,6.465123529295072,6.57261364640879,6.6841830495338534,6.503361368830131,6.080619656854448,6.554189454112072
ENSMUSG00000104017,6.470324251371586,6.080619656854448,6.57261364640879,6.705047723986034,6.625094423719143,6.307780035957115,6.274676552252137
ENSMUSG00000103025,6.602208919927719,6.431794211243799,6.327509046795911,6.882690457247861,6.642731648768632,6.358690021592137,6.824497738781247
ENSMUSG00000103201,6.541169463682242,6.777897486888506,6.57261364640879,6.78196215673687,6.56818440254047,6.080619656854448,6.513248430292173
ENSMUSG00000103161,6.327539018762793,6.3030503086099365,6.429350561119917,6.404912589197938,6.47934161659605,6.358690021592137,6.59175558265962
ENSMUSG00000102331,6.470324251371586,6.705476322016657,6.507210833144549,6.443000574068332,6.5476105874553,6.50451054737013,6.554189454112072
ENSMUSG00000102348,6.38284916648831,6.431794211243799,6.327509046795911,6.404912589197938,6.22198167609845,6.080619656854448,6.4678625624058546
ENSMUSG00000102592,6.429392794290609,6.080619656854448,6.080619656854448,6.538283823523237,6.42619624116619,6.080619656854448,6.080619656854448
ENSMUSG00000142494,6.255324427233764,6.622804739767912,6.6300290625478135,6.5657942669932705,6.587894365175874,6.080619656854448,6.659341358462267
ENSMUSG00000102343,6.327539018762793,6.080619656854448,6.429350561119917,6.404912589197938,6.080619656854448,6.080619656854448,6.416232239948432
ENSMUSG00000025900,6.853138228537213,6.84300364183463,7.389215885636723,7.385419423598345,6.766936404253242,6.560778337349742,7.070214335174403
ENSMUSG00000102948,6.080619656854448,6.23797968753401,6.080619656854448,6.404912589197938,6.3252705680266255,6.080619656854448,6.4678625624058546
ENSMUSG00000025902,7.8088539883782815,8.071723728001656,7.8086656903516545,7.987619448413795,8.199967885784773,8.451616744089838,8.100192960776212
ENSMUSG00000104238,6.327539018762793,6.524172701762592,6.080619656854448,6.616446501512235,6.659806034367919,6.307780035957115,6.79979214397384
ENSMUSG00000103003,6.080619656854448,6.394874107864088,6.080619656854448,6.310170238628665,6.3252705680266255,6.401542825186791,6.354851450876709
ENSMUSG00000104328,6.38284916648831,6.465123529295072,6.7731135984769,6.7251972208297115,6.587894365175874,6.080619656854448,6.080619656854448
ENSMUSG00000131850,6.470324251371586,6.080619656854448,6.080619656854448,6.591774187487026,6.39621158968824,6.401542825186791,6.274676552252137
ENSMUSG00000098104,6.327539018762793,6.59997370422326,6.327509046795911,6.538283823523237,6.47934161659605,6.358690021592137,6.513248430292173
ENSMUSG00000102175,6.080619656854448,6.352906047331644,6.507210833144549,6.538283823523237,6.280455929693459,6.307780035957115,6.080619656854448
ENSMUSG00000135930,6.853138228537213,6.811237029668842,6.853046411745047,6.78196215673687,7.032762173480965,6.809681532570577,6.626644534611528
ENSMUSG00000103265,6.327539018762793,6.080619656854448,6.080619656854448,6.243021946140126,6.453737306617564,6.080619656854448,6.080619656854448
ENSMUSG00000103922,6.38284916648831,6.495728155394326,6.507210833144549,6.591774187487026,6.47934161659605,6.24132917591993,6.554189454112072
ENSMUSG00000033845,9.005552085704648,8.994403530998598,8.784228603153844,8.870719698223557,8.998241371929918,8.74485716992083,8.773494168222925
ENSMUSG00000102275,6.080619656854448,6.394874107864088,6.327509046795911,6.310170238628665,6.22198167609845,6.24132917591993,6.513248430292173
ENSMUSG00000120403,6.656571596556946,6.465123529295072,6.080619656854448,6.243021946140126,6.503361368830131,6.401542825186791,6.554189454112072
ENSMUSG00000136002,6.255324427233764,6.665681556373327,6.507210833144549,6.616446501512235,6.39621158968824,6.401542825186791,6.690199517181371
ENSMUSG00000025903,13.049275800360778,12.765301808678926,12.796950404717805,12.401647493880159,12.380903170579394,12.574614720813836,12.307561015204453
