Geneid,age3_SRR9126950,age3_SRR9127139,age3_SRR9127244,age18_SRR9126754,age18_SRR9126924,age18_SRR9127382,age18_SRR9127568
ENSMUSG00000102871,7,6,12,13,11,3,20
ENSMUSG00000101571,0,7,0,0,10,0,2
ENSMUSG00000135814,0,4,0,0,6,0,0
ENSMUSG00000104428,2,0,0,5,9,0,0
ENSMUSG00000102272,2,8,5,9,3,0,1
ENSMUSG00000065625,0,2,0,0,9,0,0
ENSMUSG00000079671,159,173,81,164,177,106,146
ENSMUSG00000103411,9,8,1,12,17,0,6
ENSMUSG00000061024,309,530,206,473,602,482,280
ENSMUSG00000025911,10877,12921,4971,9046,12300,10523,6060
ENSMUSG00000081441,0,9,3,3,8,14,4
ENSMUSG00000067879,9,7,7,23,27,6,8
ENSMUSG00000099827,0,0,0,2,5,0,3
ENSMUSG00000025912,32,54,16,32,55,37,28
ENSMUSG00000123215,11,11,2,0,19,3,11
ENSMUSG00000045210,856,833,438,868,1100,958,688
ENSMUSG00000097893,134,148,77,89,201,123,101
ENSMUSG00000128816,0,0,0,2,5,0,2
ENSMUSG00000025915,723,1010,441,974,1293,1006,547
ENSMUSG00000046334,4,0,0,0,1,2,4
ENSMUSG00002075801,4,0,0,0,1,0,0
ENSMUSG00000098234,234,225,83,247,248,149,218
ENSMUSG00000046101,41,41,16,41,47,27,41
ENSMUSG00000093178,0,0,0,0,0,0,0
ENSMUSG00000099032,557,732,245,631,894,1004,443
ENSMUSG00000104025,10,1,0,16,10,13,6
ENSMUSG00000025916,1,5,0,15,11,2,6
ENSMUSG00000087199,0,0,0,0,0,0,3
ENSMUSG00000121270,5,0,2,22,1,0,0
ENSMUSG00000119658,0,0,0,0,0,0,0
ENSMUSG00000025917,1129,1457,623,1261,1644,1254,851
ENSMUSG00000056763,1137,1182,551,1248,1246,1056,824
ENSMUSG00000137212,11,20,1,22,10,6,6
ENSMUSG00000102356,0,0,0,0,0,0,0
ENSMUSG00000067851,2819,2638,1017,2522,3216,2442,1819
ENSMUSG00002076532,1,2,3,6,5,3,1
ENSMUSG00000102556,22,12,19,50,65,34,21
ENSMUSG00000127523,10,12,10,5,5,13,10
ENSMUSG00000123573,0,2,0,2,4,1,0
ENSMUSG00000042501,4,15,4,38,32,2,14
ENSMUSG00000103810,0,0,6,6,6,0,0
ENSMUSG00000130625,0,1,1,19,14,0,5
ENSMUSG00000083422,10,16,0,9,14,0,4
ENSMUSG00000119312,1,0,0,4,0,0,0
ENSMUSG00000137678,3,0,0,4,2,0,0
ENSMUSG00000081417,0,0,0,0,4,0,0
ENSMUSG00000103448,8,12,10,26,32,0,10
ENSMUSG00000100212,0,0,0,0,0,0,0
ENSMUSG00000125508,1,0,0,1,2,0,4
ENSMUSG00000100648,0,2,0,8,0,0,0
ENSMUSG00000130062,0,3,0,0,0,0,2
ENSMUSG00002076499,0,0,0,0,0,0,0
ENSMUSG00000048960,602,831,337,713,1084,688,588
ENSMUSG00000127757,3,1,2,1,4,0,2
ENSMUSG00000127802,1,2,1,0,4,9,5
ENSMUSG00000077318,0,0,0,1,2,0,0
ENSMUSG00000101827,1,6,0,14,3,1,0
ENSMUSG00000122491,3,1,3,7,7,0,9
ENSMUSG00000103494,5,4,0,15,13,0,14
ENSMUSG00000143092,0,4,0,1,6,0,5
ENSMUSG00000057715,31,29,12,115,46,0,49
ENSMUSG00000103825,0,6,6,11,12,0,4
ENSMUSG00000099845,0,0,0,0,6,1,1
ENSMUSG00000139014,1,1,1,0,1,1,1
ENSMUSG00000138973,5,5,0,8,14,4,20
ENSMUSG00000103561,1,17,12,14,14,0,8
ENSMUSG00000134440,2,4,0,2,2,0,3
ENSMUSG00000101610,0,6,3,0,0,0,2
ENSMUSG00000141382,0,0,0,1,6,0,0
ENSMUSG00000118923,0,0,0,0,0,0,0
ENSMUSG00000098555,0,0,0,1,0,0,0
ENSMUSG00000143719,0,2,0,1,1,0,0
ENSMUSG00000097628,2,2,0,10,5,3,3
ENSMUSG00000098163,2,4,5,3,0,3,0
ENSMUSG00000097171,2,1,2,9,17,1,5
ENSMUSG00000101314,4,3,2,6,9,0,1
ENSMUSG00000016918,165,177,103,141,208,224,91
ENSMUSG00000127288,0,0,1,5,14,2,5
ENSMUSG00000025938,34,35,27,99,82,17,32
ENSMUSG00000104518,0,0,0,0,0,0,5
ENSMUSG00000141815,0,2,0,3,2,0,0
ENSMUSG00000069620,0,0,0,0,0,0,0
ENSMUSG00000099498,0,0,4,7,6,0,3
ENSMUSG00000042414,2,9,0,11,0,0,2
ENSMUSG00000005886,1128,1236,491,1320,1486,1536,1306
ENSMUSG00000103506,21,22,6,32,31,19,23
ENSMUSG00000103495,8,48,4,25,25,12,21
ENSMUSG00002076346,0,0,0,0,1,0,0
ENSMUSG00000102639,16,3,0,2,9,6,12
ENSMUSG00000104170,17,17,6,22,28,6,13
ENSMUSG00000134412,0,0,3,0,15,0,1
ENSMUSG00000087782,0,0,0,0,0,0,0
ENSMUSG00000103085,65,50,49,51,95,65,41
ENSMUSG00000102664,38,23,20,57,77,47,50
ENSMUSG00000134452,6,12,1,5,17,7,8
ENSMUSG00000101476,3,2,1,3,18,0,1
ENSMUSG00000134491,5,12,0,8,5,5,0
ENSMUSG00000122424,6,2,0,4,3,0,1
ENSMUSG00000101171,0,0,0,9,1,0,7
ENSMUSG00000126000,0,4,0,3,2,0,0
ENSMUSG00000025935,6264,7632,3118,7506,8228,7170,4578
ENSMUSG00000120948,0,3,0,12,3,5,14
ENSMUSG00000131318,0,0,0,2,1,0,0
ENSMUSG00000025937,28080,30294,13983,28803,34520,28633,17038
ENSMUSG00000102982,252,293,122,283,354,199,151
ENSMUSG00000067813,22,25,15,31,34,15,8
ENSMUSG00000077368,0,5,0,9,0,0,0
ENSMUSG00000097711,2,5,1,4,15,0,1
ENSMUSG00000134219,21,20,2,22,24,2,8
ENSMUSG00000102166,12,8,2,8,22,1,8
ENSMUSG00002075174,0,1,3,8,10,0,0
ENSMUSG00000104209,0,4,1,6,10,0,0
ENSMUSG00000025932,14,10,8,42,25,19,29
ENSMUSG00002075819,0,0,0,0,3,3,0
ENSMUSG00000102588,0,0,0,4,0,0,2
ENSMUSG00000127312,2,7,0,24,10,0,9
ENSMUSG00000127278,11,11,2,18,8,1,4
ENSMUSG00000140763,1,0,1,3,0,0,1
ENSMUSG00000140464,8,0,0,1,6,0,1
ENSMUSG00000134469,1,0,0,0,3,1,0
ENSMUSG00000054493,8,13,3,44,20,3,17
ENSMUSG00000025930,2,5,0,5,19,2,8
ENSMUSG00000103492,9,19,9,28,17,0,12
ENSMUSG00000081201,0,3,2,6,0,0,2
ENSMUSG00000082193,6,12,2,5,16,2,4
ENSMUSG00000032769,7,20,8,25,24,4,12
ENSMUSG00000088159,0,0,0,0,0,0,0
ENSMUSG00000125466,11,3,4,16,10,0,3
ENSMUSG00000073737,0,7,0,0,4,1,0
ENSMUSG00000092083,74,68,24,186,165,15,89
ENSMUSG00000128216,0,0,0,1,0,0,6
ENSMUSG00000102937,2,10,6,11,15,0,10
ENSMUSG00000104149,11,11,7,14,21,22,6
ENSMUSG00000137925,31,47,9,62,69,54,66
ENSMUSG00000088829,3,1,0,1,0,0,0
ENSMUSG00000132707,0,0,2,2,0,0,0
ENSMUSG00000077377,0,0,0,0,0,0,0
ENSMUSG00000101652,0,7,0,7,2,0,0
ENSMUSG00000100814,0,0,0,1,2,0,0
ENSMUSG00000132745,4,0,0,3,21,0,2
ENSMUSG00000132786,0,0,0,4,0,0,0
ENSMUSG00000025925,163,357,132,365,347,371,192
ENSMUSG00000104379,10,12,1,5,1,0,18
ENSMUSG00000032719,50,75,27,61,61,68,40
ENSMUSG00002076565,1,4,0,2,2,2,4
ENSMUSG00000137819,4,2,0,2,4,0,1
ENSMUSG00000100652,2,1,0,5,0,0,0
ENSMUSG00000067795,6,0,5,7,32,0,0
ENSMUSG00000136711,0,2,0,0,0,0,0
ENSMUSG00000043716,2358,2987,1201,2686,3324,2875,2344
ENSMUSG00000025921,2991,3739,1693,3804,5030,2891,1991
ENSMUSG00000132226,0,2,0,3,0,0,0
ENSMUSG00000104165,3,4,0,37,2,6,0
ENSMUSG00000100868,13,1,0,11,4,2,5
ENSMUSG00000025920,530,723,252,798,917,590,393
ENSMUSG00000089982,4,13,3,5,6,20,9
ENSMUSG00000025939,1228,1337,631,1207,1578,1376,664
ENSMUSG00000102457,9,1,5,4,23,6,23
ENSMUSG00000079658,813,837,364,750,1163,756,500
ENSMUSG00000097744,11,14,1,31,3,2,0
ENSMUSG00000100959,0,0,0,4,12,14,3
ENSMUSG00000025940,2111,2503,1025,2150,2913,2104,1426
ENSMUSG00000125087,0,6,0,35,3,4,1
ENSMUSG00000025779,49,82,40,130,136,91,47
ENSMUSG00000100093,0,0,0,0,0,0,0
ENSMUSG00000091020,4,3,2,2,0,2,1
ENSMUSG00000142287,3,0,1,7,0,4,5
ENSMUSG00000101640,3,0,1,0,0,0,0
ENSMUSG00000104133,3,0,1,2,22,2,3
ENSMUSG00000042686,17,6,4,54,24,12,21
ENSMUSG00000127806,0,1,0,2,6,4,0
ENSMUSG00000127769,0,0,0,3,2,0,3
ENSMUSG00000100110,2,8,0,25,2,4,0
ENSMUSG00000025777,20,45,21,129,46,9,43
ENSMUSG00000099899,4,0,0,3,3,0,4
ENSMUSG00000138285,0,0,2,5,5,0,4
ENSMUSG00000100272,0,0,0,6,3,0,6
ENSMUSG00000137468,5,0,1,3,0,5,0
ENSMUSG00000137506,3,0,2,2,1,2,1
ENSMUSG00000100398,0,0,0,0,0,0,0
ENSMUSG00000101589,14,10,7,8,6,11,6
ENSMUSG00000102048,2,0,0,0,12,0,7
ENSMUSG00000089534,0,0,0,0,3,0,2
ENSMUSG00000067780,16,39,2,45,48,39,40
ENSMUSG00000100053,2,2,1,7,10,10,10
ENSMUSG00000085125,19,27,13,45,75,24,12
ENSMUSG00000025776,60,94,43,140,161,118,35
ENSMUSG00000099895,5,2,1,13,4,1,14
ENSMUSG00000109887,3,10,5,10,9,4,14
ENSMUSG00000100554,2,5,5,6,14,2,10
ENSMUSG00000099473,0,0,0,0,0,0,0
ENSMUSG00000099591,14,0,0,7,4,0,6
ENSMUSG00000102001,0,0,0,0,2,0,0
ENSMUSG00000101717,0,0,4,0,0,0,1
ENSMUSG00000025774,6,10,9,19,15,2,27
ENSMUSG00000142595,6,7,3,2,12,2,4
ENSMUSG00000070977,2,0,0,0,0,2,0
ENSMUSG00000131994,0,0,0,2,5,0,0
ENSMUSG00000073735,1,0,0,0,1,0,2
ENSMUSG00000067773,0,0,0,4,1,0,0
ENSMUSG00000101685,2,2,0,0,2,0,4
ENSMUSG00000132263,0,8,0,0,3,4,0
ENSMUSG00000132383,6,2,1,4,6,5,3
ENSMUSG00000101306,0,4,2,7,20,0,6
ENSMUSG00000134916,0,0,0,1,0,0,1
ENSMUSG00000088800,0,0,0,0,0,0,0
ENSMUSG00000101644,0,0,0,0,0,0,0
ENSMUSG00000099433,0,0,0,0,2,0,0
ENSMUSG00000089787,1,14,3,5,15,0,12
ENSMUSG00000042596,0,0,2,1,5,1,7
