age3_SRR9126950,age3_SRR9127139,age3_SRR9127244,age18_SRR9126754,age18_SRR9126924,age18_SRR9127382,age18_SRR9127568
ENSMUSG00000051951,6.381956513616,6.35326065913695,6.41628787196481,6.76129982241536,6.69423919220989,6.33388789287345,6.57798293639837
ENSMUSG00000103025,6.381956513616,6.19577371557973,6.08368884333033,6.69550239736283,6.43109560701524,6.11430099454869,6.63337529208759
ENSMUSG00000142494,6.00292055634931,6.40426028465053,6.41628787196481,6.34725271747038,6.37081315290778,5.81175311824132,6.451558564838
ENSMUSG00000025900,6.65524038887417,6.64399836147153,7.26574769188212,7.24352586030152,6.55189055036495,6.33388789287345,6.90284282765576
ENSMUSG00000025902,7.68402272486553,7.95755174754758,7.69490414088678,7.87960095624386,8.11031586178926,8.34784873177882,8.01459819654954
ENSMUSG00000104238,6.08190765019918,6.2966546671336,5.81175311824132,6.40302773832122,6.44985627437693,6.05893289911012,6.60620983664686
ENSMUSG00000098104,6.49511514550972,6.79686543464373,6.35324599031471,6.66044086953122,6.50290036186986,6.27278574139326,6.51782741156439
ENSMUSG00000135930,6.65524038887417,6.60946100154009,6.66066301626646,6.58500152503309,6.84758909151792,6.58506943443773,6.41550742321071
ENSMUSG00000103922,7.94063221106717,7.85571118001208,7.97694423718998,7.82771814565361,7.88873449857802,7.78934930819348,7.89214166030738
ENSMUSG00000033845,8.92515928299166,8.91810451387756,8.70400153114313,8.81303562426665,8.94323948568024,8.65715514491468,8.72036830288138
ENSMUSG00000136002,6.00292055634931,6.45099908098263,6.2813809527484,6.40302773832122,6.15979624532676,6.16089320763214,6.48556648085571
ENSMUSG00000025903,13.0301854478063,12.7328570526122,12.7922893343696,12.4006390359488,12.3789304851927,12.5362459424745,12.3159765430842
ENSMUSG00000033813,8.37497404041739,8.53315406799815,8.84475455042583,8.41164585500228,8.44437199786443,8.57335370011353,8.26060198261561
ENSMUSG00000033793,10.7846080198717,10.7106422606373,10.9988467371959,10.8350473138452,10.6173213496866,10.4658338987658,10.6109660931528
ENSMUSG00000090031,8.27886046280059,8.19034221843738,8.11425101293303,7.86825139594396,8.14910062674157,8.03982320230231,8.1727694352008
ENSMUSG00000025907,10.3256132936388,10.1272088508824,10.2605337864592,10.3245985693213,10.0686137849512,10.2165897853435,10.1519079253011
ENSMUSG00000033740,6.27832254909066,6.47305694510141,6.77565488195948,6.45373465903166,6.51963768196761,6.23884363716956,6.60620983664686
ENSMUSG00000051285,10.2630828319625,10.1084481038398,10.2908788186633,10.1661713470828,10.2060806981439,10.4497000258821,10.2705816067075
ENSMUSG00000048538,6.75158303126267,6.72405345389562,6.77565488195948,6.69550239736283,6.50290036186986,6.58506943443773,6.65958207373104
ENSMUSG00000097797,6.65524038887417,6.57319500533282,6.35324599031471,6.37586470709059,6.32650250183281,5.81175311824132,6.41550742321071
ENSMUSG00000025909,6.88575732090284,6.76849900484279,6.47303913211556,7.26255951020997,6.74449985188067,6.7381397443677,6.75638864589928
ENSMUSG00000079671,7.48968093046757,7.32069435622221,7.4454715290917,7.32671526102333,7.20403085445697,7.0365548351809,7.53244529986451
ENSMUSG00000061024,7.98869413689411,8.29308172740175,8.10333840831909,8.20326114581656,8.16978979223719,8.11815348971634,7.9548093029307
ENSMUSG00000025911,12.4503065554022,12.4133031400436,12.367393601799,12.00707394588,12.0362052220703,12.1651305705921,11.9529426209274
ENSMUSG00000025912,6.52041356704577,6.60946100154009,6.70086042941679,6.52264458234043,6.59758864873274,6.50504821045859,6.51782741156439
ENSMUSG00000045210,9.05829213696268,8.77285995505727,9.13726637139183,8.9115214306229,8.85258151341127,8.978539018571,9.04811621420209
ENSMUSG00000097893,7.32985577668447,7.18024930944743,7.4078992971688,7.0434470905223,7.29072675986636,7.17170531961892,7.28275291629711
ENSMUSG00000025915,8.87063659130074,9.02301709294491,9.12686877654638,9.03777261864562,9.06286986203394,9.06216708913814,8.80874934530027
ENSMUSG00000098234,7.69148804574003,7.53793490705876,7.48187568843651,7.65796396610054,7.46434627351325,7.25605517676443,7.84305984465215
ENSMUSG00000046101,6.69519611038103,6.57319500533282,6.61822692737999,6.67816982850354,6.51963768196761,6.38830600998021,6.77888933504794
ENSMUSG00000099032,8.57216522816314,8.64057093572812,8.45765932066473,8.61544887157248,8.62721582009642,9.03253722225128,8.569034089037
ENSMUSG00000025917,9.38078281673729,9.42172847232025,9.53253615840611,9.33704018660414,9.34907239312719,9.29650221964361,9.30813195696416
ENSMUSG00000056763,9.40426836880143,9.20212594594193,9.40116672527562,9.37561264619205,9.03207050119236,9.10219243651358,9.27042767476032
ENSMUSG00000067851,10.5648848707049,10.187038108091,10.2125604210043,10.2532459299273,10.1996323240381,10.1445095554312,10.2603229488454
ENSMUSG00000102556,6.46876876770736,6.26560129564893,6.66066301626646,6.71246168643873,6.64054242661682,6.50504821045859,6.54857175551184
ENSMUSG00000048960,8.61734568286045,8.77017223020921,8.78616028194343,8.66989630207814,8.85466113407503,8.60185491561427,8.91095917649028
ENSMUSG00000057715,6.49511514550972,6.47305694510141,6.2813809527484,7.13239007640348,6.56745849494208,5.81175311824132,6.90284282765576
ENSMUSG00000016918,7.4540015430526,7.36910594186194,7.61731294525904,7.23388356457222,7.35157565457503,7.56945620211673,7.24214676780196
ENSMUSG00000025938,6.59102538390503,6.53493851316876,6.84433390921541,6.99584402385341,6.79185881288076,6.36180258720709,6.68491720982893
ENSMUSG00000005886,9.38078281673729,9.23924059020888,9.30325876277088,9.41131217953561,9.21237943686083,9.55131377727922,9.84343095781975
ENSMUSG00000103506,6.41237309598603,6.37936277172053,6.2813809527484,6.52264458234043,6.44985627437693,6.38830600998021,6.51782741156439
ENSMUSG00000103495,6.19325524208547,6.66068563337733,6.19576325276139,6.45373465903166,6.39164238307514,6.23884363716956,6.54857175551184
ENSMUSG00000103085,6.9163626128317,6.70868211907148,7.12738232718927,6.74534221599107,6.90002512000151,6.78322377299927,6.75638864589928
ENSMUSG00000102664,6.63444998525458,6.37936277172053,6.66066301626646,6.82226921585839,6.76851414024036,6.69041947247988,6.84303626953045
ENSMUSG00000025935,11.6650363554587,11.6386197797247,11.7082267652007,11.7416724245677,11.4668635360071,11.597188425427,11.5391988012143
ENSMUSG00000025937,13.6497580822838,13.4403434877166,13.6848196665504,13.500586271596,13.3531971239435,13.4125625901685,13.2705569205879
ENSMUSG00000102982,7.77776041066969,7.68589117244642,7.85035355697376,7.8335878021345,7.74064753434907,7.4540135737994,7.53244529986451
ENSMUSG00000067813,6.52041356704577,6.40426028465053,6.52500682745217,6.58500152503309,6.51963768196761,6.30432163742136,6.24021766015066
ENSMUSG00000025932,6.34972957544785,6.15543327908232,6.35324599031471,6.62368832664139,6.32650250183281,6.43778813647203,6.68491720982893
ENSMUSG00000032769,6.23797752742154,6.23218035744281,6.41628787196481,6.40302773832122,6.43109560701524,5.81175311824132,6.37702106418026
ENSMUSG00000092083,6.93129433121097,6.79686543464373,6.73911301641148,7.44507339742931,7.16575579674444,6.30432163742136,7.19997405733385
ENSMUSG00000137925,6.52041356704577,6.66068563337733,6.19576325276139,6.80742910885768,6.76851414024036,6.7381397443677,6.97700350991005
ENSMUSG00000025925,7.4540015430526,7.89227565579906,7.79600959012754,8.0136677035089,7.7501317458257,7.99147480604374,7.80067004515793
ENSMUSG00000032719,6.61306152957564,6.75394849207585,6.84433390921541,6.7923292715927,6.55189055036495,6.8260276349436,6.80080580105272
ENSMUSG00000043716,9.97872748394466,9.98013232486237,9.98578645097935,9.83380634666477,9.87766463141055,9.9837700305239,10.2321030011265
ENSMUSG00000025921,10.6472612088638,10.6471547732759,10.8313013630272,10.8051731208087,10.8024527782836,10.3543847369313,10.4083334705876
ENSMUSG00000025920,8.5451111799008,8.64646432034386,8.4827160970521,8.83831379242174,8.68237347656932,8.4319500368805,8.43690193909807
ENSMUSG00000025939,9.49650390482628,9.33250970519282,9.57503615054433,9.31537046849548,9.3044509477155,9.44345869559979,9.03776062197362
ENSMUSG00000079658,8.97764444729865,8.76478120259885,8.90710696378816,8.77569645241419,8.92161339569086,8.70743429956502,8.68516793274068
ENSMUSG00000025940,10.1719378757887,10.1199421143743,10.1654518374015,10.0211485488957,10.0561690947577,9.9357263297015,9.98025857745275
ENSMUSG00000025779,6.78713236867085,6.90191681437284,7.02380369455936,7.19443451968849,7.06776936714739,6.95547768963101,6.86341568379821
ENSMUSG00000025777,6.41237309598603,6.62693166989654,6.70086042941679,7.16386675268415,6.53595851795916,6.20186723670034,6.80080580105272
ENSMUSG00000101589,6.52041356704577,6.47305694510141,6.52500682745217,6.40302773832122,6.68116156192013,6.43778813647203,6.451558564838
ENSMUSG00000067780,6.381956513616,6.57319500533282,6.08368884333033,6.66044086953122,6.55189055036495,6.58506943443773,6.70945517878815
ENSMUSG00000085125,6.381956513616,6.45099908098263,6.41628787196481,6.64228988844247,6.74449985188067,6.33388789287345,6.37702106418026
ENSMUSG00000025776,6.80436189738623,6.95021712319519,7.07691189581166,7.30875789996102,7.18123082790431,7.09065837331477,6.68491720982893
ENSMUSG00000025927,8.93404402713651,9.12693341556809,9.23724561424078,9.27305975013017,9.05207612188176,9.39792134934221,9.07198768830631
ENSMUSG00000100204,6.59102538390503,6.47305694510141,6.73911301641148,6.58500152503309,6.71976207521421,6.6569191904636,6.70945517878815
ENSMUSG00000043760,10.9673821462659,10.7318775063056,10.7412918367718,10.7464262526088,10.9890467615393,10.9771103859506,11.0857360228476
ENSMUSG00000104095,6.34972957544785,6.62693166989654,6.66066301626646,6.58500152503309,6.62650187475651,6.38830600998021,6.60620983664686
ENSMUSG00000089914,6.73322054190514,6.53493851316876,6.70086042941679,6.28461567093497,6.69423919220989,6.56592788712833,6.51782741156439
ENSMUSG00000090142,6.46876876770736,6.32577011304937,6.35324599031471,6.24981621633223,6.56745849494208,6.33388789287345,6.68491720982893
ENSMUSG00000041859,7.16716729293013,7.59145574580809,7.05070910989945,7.42071261317243,7.64676455676517,7.4464112394834,7.59504526031937
ENSMUSG00000025931,6.49511514550972,6.64399836147153,6.90806437781545,6.82226921585839,6.53595851795916,6.75344127582785,6.70945517878815
ENSMUSG00000041779,7.77079277801865,7.92281204244273,8.07005116742808,7.75508384067979,7.44021500413607,7.39176022724139,7.61521456300826
ENSMUSG00000025933,7.40781967134762,7.10248955453469,7.17551906267095,7.32671526102333,7.24099194316582,7.2739449994136,7.34730332031827
ENSMUSG00000025934,9.12429772605361,8.90838869447711,8.94323043797271,9.4297477497728,9.57348490011033,9.34165029402159,9.70302244661347
ENSMUSG00000121505,7.3695017501962,7.23504903037132,7.4078992971688,7.23388356457222,7.05916569908112,7.43875925040285,6.99467625881974
ENSMUSG00000082935,7.35971898727711,7.40793906624521,7.32886985540505,7.31777242713262,7.34497439221445,7.30888159885482,7.48882306954017
ENSMUSG00000041670,6.49511514550972,6.35326065913695,6.19576325276139,6.90644387791776,6.73222505169921,6.30432163742136,6.37702106418026
ENSMUSG00000134304,8.28359520972064,8.14013434385948,8.12507472880512,8.28468965778298,8.04429760204131,8.22968902694775,8.24225775439643
ENSMUSG00000097970,6.34972957544785,6.19577371557973,6.47303913211556,6.31694517592385,6.56745849494208,6.41358497166021,6.37702106418026
ENSMUSG00000026158,8.06877967866921,7.72761153737654,7.98895034563043,8.073444945228,7.81459907088476,7.96158520704405,7.81779546733705
ENSMUSG00000026156,9.31694025527493,9.16197807207605,9.44770427602037,9.5236613417046,9.40083256013766,9.7113934616862,9.27042767476032
ENSMUSG00000026155,8.30702348948251,8.35989388324098,8.20864112007514,8.21645038544884,8.07404650482633,8.15347392258527,8.52971259955495
ENSMUSG00000026154,7.99457936197488,8.10558040378561,8.07005116742808,7.90754504118846,8.01386151458941,7.85119470958976,8.26666168803628
ENSMUSG00000026153,8.67182450313972,8.54902027850813,8.81250571920143,8.54165049728025,8.30631809448984,8.78098206614887,9.14448860340968
ENSMUSG00000122847,6.52041356704577,6.70868211907148,6.2813809527484,6.71246168643873,6.55189055036495,5.98664236939933,6.51782741156439
ENSMUSG00000026147,6.08190765019918,6.15543327908232,6.08368884333033,6.64228988844247,6.43109560701524,6.27278574139326,6.51782741156439
ENSMUSG00000026141,7.38882012353733,7.27010597006207,6.57317460843752,7.22415521001485,7.29765291637779,6.60370617374481,7.48882306954017
ENSMUSG00000099997,6.31534416305707,6.69300838155445,6.57317460843752,6.76129982241536,6.34913564430992,6.56592788712833,6.65958207373104
ENSMUSG00000100131,6.854088299879,7.04006567563742,7.17551906267095,6.85121527158056,6.73222505169921,7.5625578935568,7.04585891660495
ENSMUSG00000067736,6.381956513616,6.37936277172053,6.61822692737999,6.4775549252735,6.37081315290778,6.38830600998021,6.54857175551184
ENSMUSG00000101111,7.28876669501563,7.07175784513898,7.80981435984658,7.03175931100089,7.97875533719921,7.33438677241336,7.64485906971973
ENSMUSG00000100862,7.26764032089068,7.04006567563742,7.91519604104988,7.20443268702362,7.32493670830851,7.21000907267555,9.38066492071184
ENSMUSG00000102070,7.1554003299807,6.70868211907148,7.26574769188212,6.67816982850354,6.87941367409294,6.83983929530207,8.41539551749357
ENSMUSG00000101249,6.97472228056701,6.73913759200031,7.19879200975858,6.99584402385341,7.1014738186163,7.12179437207002,7.19997405733385
ENSMUSG00000073725,10.3758999352657,10.0528306579756,10.2415362629795,10.1137739767839,10.0783165927278,10.3832909626142,10.1487322327814
ENSMUSG00000033569,6.83782358795461,6.67701562536389,6.61822692737999,7.05499981429796,7.08476069081301,6.54624181365724,6.68491720982893
ENSMUSG00000103214,6.44124234314493,5.81175311824132,6.2813809527484,6.72906861991719,6.50290036186986,6.30432163742136,6.24021766015066
ENSMUSG00000102250,6.54477298715988,6.35326065913695,6.41628787196481,6.85121527158056,6.41171185985278,6.23884363716956,6.29035582420005
ENSMUSG00000104132,6.34972957544785,6.55433453745429,6.41628787196481,6.4775549252735,6.86893014366501,6.50504821045859,6.29035582420005
ENSMUSG00000102747,6.73322054190514,6.59155899364554,6.61822692737999,6.87924969660087,7.02399372398537,6.58506943443773,6.92193881989665
ENSMUSG00000101514,6.93129433121097,6.93837328965293,6.66066301626646,6.85121527158056,6.96876514591814,6.96748366928028,7.06235098237495
ENSMUSG00000099492,6.52041356704577,6.32577011304937,6.35324599031471,6.42893353013875,6.41171185985278,6.46103612545928,6.33556168054498
ENSMUSG00000127937,6.27832254909066,6.70868211907148,6.73911301641148,6.66044086953122,6.6543243276998,6.05893289911012,6.48556648085571
ENSMUSG00000100261,6.65524038887417,6.79686543464373,6.96768050691518,6.52264458234043,6.61218894827411,6.54624181365724,6.82217662369359
ENSMUSG00000048874,9.35909050056127,8.83329213506094,9.17306765230551,9.19529675560793,9.09125603070686,9.24194819580928,9.38880088387499
ENSMUSG00000103783,6.63444998525458,6.37936277172053,6.41628787196481,6.37586470709059,6.58268453020338,6.43778813647203,6.65958207373104
ENSMUSG00000104315,6.71443402889016,6.62693166989654,6.70086042941679,6.97114498497143,6.51963768196761,6.89304063313707,7.01203398754881
ENSMUSG00000026064,6.381956513616,6.37936277172053,6.35324599031471,6.28461567093497,6.41171185985278,6.6569191904636,6.54857175551184
ENSMUSG00000117310,6.76954618768105,6.59155899364554,6.93834389226488,6.76129982241536,6.74449985188067,6.50504821045859,6.68491720982893
ENSMUSG00000086727,6.08190765019918,6.15543327908232,6.41628787196481,6.4775549252735,6.41171185985278,6.11430099454869,6.11527788020989
ENSMUSG00000026058,6.87006179578081,6.78280099294644,6.77565488195948,7.16386675268415,6.87941367409294,6.54624181365724,6.95900074508234
ENSMUSG00000026134,7.02974359661936,7.21708965543599,7.05070910989945,7.16386675268415,7.17352146532723,7.08006638049007,7.21421479996073
ENSMUSG00000004768,8.56833267741007,8.44075381176496,8.60915352215477,8.31755841923323,8.22673004304396,8.29790798308703,8.35444404917426
ENSMUSG00000042215,8.90721938595398,8.81256723315929,8.57861362556136,8.51380508354843,8.6369673560151,8.52781500981613,8.468541131336
ENSMUSG00000042197,8.54900867321531,8.44416321689856,8.66102936727292,8.79592606036805,8.4075639351334,8.66016365577313,8.84894811189224
ENSMUSG00000042182,6.381956513616,6.49435494547072,6.41628787196481,6.28461567093497,6.44985627437693,6.16089320763214,6.37702106418026
ENSMUSG00000026131,11.0335046755879,10.8870788248821,10.920494411539,10.780390854974,10.7466661332432,10.9806577824627,11.4704209908974
ENSMUSG00000096992,6.78713236867085,6.57319500533282,6.70086042941679,6.93286025264534,6.75659390031422,6.70664501811578,6.82217662369359
ENSMUSG00000102336,6.34972957544785,6.37936277172053,6.52500682745217,6.74534221599107,6.39164238307514,6.33388789287345,6.41550742321071
ENSMUSG00000042111,7.92833421628075,8.13157962183068,7.85035355697376,8.00856146753914,8.17661560499825,8.1578238969884,8.0787585621984
ENSMUSG00000026127,9.44805592839001,9.44693887215956,9.38820604281452,9.53731446799068,9.50691210867388,9.77154302283225,9.59956611951752
ENSMUSG00000100280,6.54477298715988,6.49435494547072,6.66066301626646,6.37586470709059,6.37081315290778,6.36180258720709,6.68491720982893
ENSMUSG00000026126,7.79158166076456,7.81260488357129,7.46381430241312,7.79192083398214,7.89296496723719,8.06334700518413,7.74786043429711
ENSMUSG00000037509,6.52041356704577,6.59155899364554,6.70086042941679,6.94579420391188,6.39164238307514,6.85343831771499,6.95900074508234
ENSMUSG00000037503,10.36619869113,10.279355611669,10.6984409135504,10.2737063176685,10.1963972467295,10.7499561318285,10.4820416167417
ENSMUSG00000104358,6.46876876770736,5.98389767132227,6.41628787196481,6.58500152503309,6.80329508730514,6.23884363716956,6.48556648085571
ENSMUSG00000026123,12.9418487906296,12.9479768300266,13.0151636409697,12.8338396729395,12.8785777119008,12.9357529374766,12.6089368082712
ENSMUSG00000104417,6.1423831032765,6.42809948991227,5.81175311824132,6.40302773832122,6.43109560701524,6.20186723670034,6.18315306863017
ENSMUSG00000045216,10.6392325666074,10.6521943827076,10.4687984536384,10.7811048715052,10.4937449630206,10.7875809074523,10.2879992387446
ENSMUSG00000102202,6.49511514550972,6.05505829288965,6.52500682745217,6.0653152068817,6.03219458649064,6.41358497166021,6.51782741156439
