File,Sample
results/SALMON/PE/SRR9126754/quant.sf,SRR9126754_18_se
results/SALMON/PE/SRR9126924/quant.sf,SRR9126924_18_se
results/SALMON/PE/SRR9126950/quant.sf,SRR9126950_3_se
results/SALMON/PE/SRR9127139/quant.sf,SRR9127139_3_se
results/SALMON/PE/SRR9127244/quant.sf,SRR9127244_3_se
results/SALMON/PE/SRR9127382/quant.sf,SRR9127382_18_se
results/SALMON/PE/SRR9127568/quant.sf,SRR9127568_18_se
