Geneid,age3_SRR9126950,age3_SRR9127139,age3_SRR9127244,age18_SRR9126754,age18_SRR9126924,age18_SRR9127382,age18_SRR9127568
ENSMUSG00000102693,6.318425789699557,6.567400082964062,6.622498864930522,6.301053514963919,6.38743090281598,6.2985010618414305,6.346447708027879
ENSMUSG00000051951,6.593943605057534,6.567400082964062,6.622498864930522,6.935689344468625,6.8755061148282826,6.5521682848291,6.767937926004872
ENSMUSG00000102851,6.07073185897992,6.07073185897992,6.499162347456232,6.35266793771673,6.354109422687118,6.07073185897992,6.07073185897992
ENSMUSG00000103377,6.461654494279786,6.4562044110817265,6.564842086120963,6.6545707996408225,6.494951890416556,6.07073185897992,6.546849220569304
ENSMUSG00000104017,6.461654494279786,6.07073185897992,6.564842086120963,6.697229494447011,6.617101760772565,6.2985010618414305,6.2658405160374935
ENSMUSG00000103025,6.593943605057534,6.422791992196077,6.3186909185220586,6.87543479056223,6.6347988649679355,6.349546726445599,6.818559958287833
ENSMUSG00000103201,6.532717688452579,6.769743027716503,6.564842086120963,6.774389561062003,6.55999761139656,6.07073185897992,6.505691402345746
ENSMUSG00000103147,6.318425789699557,6.2937250871644554,6.07073185897992,6.557524358245031,6.354109422687118,6.5521682848291,6.546849220569304
ENSMUSG00000103161,6.318425789699557,6.2937250871644554,6.420970000102902,6.39611182332453,6.470849238860461,6.349546726445599,6.584613389130517
ENSMUSG00000102331,6.461654494279786,6.697147677394962,6.499162347456232,6.434326210126195,6.539353290678892,6.495753043732303,6.546849220569304
ENSMUSG00000102348,6.373908288786516,6.422791992196077,6.3186909185220586,6.39611182332453,6.212591368965518,6.07073185897992,6.460064125972152
ENSMUSG00000102592,6.4205964200414405,6.07073185897992,6.07073185897992,6.529923750887995,6.417519780827622,6.07073185897992,6.07073185897992
ENSMUSG00000142494,6.245985335948739,6.614274967663631,6.622498864930522,6.557524358245031,6.579774960895696,6.07073185897992,6.652553131962547
ENSMUSG00000102343,6.318425789699557,6.07073185897992,6.420970000102902,6.39611182332453,6.07073185897992,6.07073185897992,6.408157942776824
ENSMUSG00000025900,6.845623025072726,6.835004014620606,7.404951596895684,7.379645798460464,6.745181779899989,6.5521682848291,7.06549546738419
