Geneid,age3_SRR9126950,age3_SRR9127139,age3_SRR9127244,age18_SRR9126754,age18_SRR9126924,age18_SRR9127382,age18_SRR9127568
ENSMUSG00000101571,0,2,0,0,1,0,2
ENSMUSG00000135814,0,0,0,2,2,0,0
ENSMUSG00000104428,1,0,0,4,3,0,0
ENSMUSG00000102272,0,3,3,5,0,0,0
ENSMUSG00000065625,0,2,0,0,4,0,0
ENSMUSG00000079671,114,122,51,122,121,74,83
ENSMUSG00000103411,5,4,0,6,8,0,3
ENSMUSG00000061024,157,263,87,221,282,213,119
ENSMUSG00000025911,5587,6697,2596,4613,6257,5426,3122
ENSMUSG00000081441,0,1,1,0,1,1,0
ENSMUSG00000067879,5,4,3,14,12,3,4
ENSMUSG00000099827,0,0,0,1,1,0,1
ENSMUSG00000025912,14,22,11,16,26,16,11
ENSMUSG00000123215,4,2,2,0,10,2,7
ENSMUSG00000045210,432,416,231,433,547,489,339
ENSMUSG00000097893,71,69,39,51,97,65,53
ENSMUSG00000128816,0,0,0,1,0,0,3
ENSMUSG00000025915,371,521,226,492,655,520,283
ENSMUSG00000046334,0,0,0,0,0,0,0
ENSMUSG00002075801,4,0,0,0,1,0,0
ENSMUSG00000098234,112,114,40,121,134,74,108
ENSMUSG00000046101,22,20,9,24,21,11,22
ENSMUSG00000093178,0,0,0,0,0,0,0
ENSMUSG00000099032,282,368,124,332,444,505,227
ENSMUSG00000104025,6,0,0,8,8,4,1
ENSMUSG00000025916,0,3,0,5,2,1,1
ENSMUSG00000087199,0,0,0,0,0,0,0
ENSMUSG00000121270,2,0,1,11,0,0,0
ENSMUSG00000119658,0,0,0,0,0,0,0
ENSMUSG00000025917,571,727,322,625,839,631,430
ENSMUSG00000056763,586,602,285,643,643,540,416
ENSMUSG00000137212,6,9,1,14,6,2,3
ENSMUSG00000102356,0,0,0,0,0,0,0
ENSMUSG00000067851,1429,1340,539,1283,1631,1243,902
ENSMUSG00002076532,1,1,0,5,2,3,0
ENSMUSG00000102556,12,7,11,26,29,16,12
ENSMUSG00000127523,7,7,7,3,0,11,6
ENSMUSG00000123573,0,0,0,0,1,1,0
ENSMUSG00000042501,3,6,2,17,15,2,5
ENSMUSG00000103810,0,0,3,4,4,0,0
ENSMUSG00000130625,0,1,1,12,8,0,2
ENSMUSG00000083422,5,8,0,4,7,0,2
ENSMUSG00000119312,1,0,0,4,0,0,0
ENSMUSG00000137678,0,0,0,0,0,0,0
ENSMUSG00000081417,0,0,0,0,0,0,0
ENSMUSG00000103448,2,5,3,14,18,0,6
ENSMUSG00000100212,0,0,0,0,0,0,0
ENSMUSG00000125508,0,0,0,0,1,0,2
ENSMUSG00000100648,0,2,0,2,0,0,0
ENSMUSG00000130062,0,3,0,0,0,0,2
ENSMUSG00002076499,0,0,0,0,0,0,0
ENSMUSG00000048960,296,419,169,348,547,345,306
ENSMUSG00000127757,2,1,1,1,3,0,1
ENSMUSG00000127802,1,2,0,0,2,3,2
ENSMUSG00000077318,0,0,0,0,0,0,0
ENSMUSG00000101827,1,3,0,10,4,1,0
ENSMUSG00000122491,2,1,2,2,0,0,3
ENSMUSG00000103494,3,2,0,8,7,0,7
ENSMUSG00000143092,0,0,0,0,1,0,2
ENSMUSG00000057715,13,15,3,58,22,0,27
ENSMUSG00000103825,0,3,3,5,8,0,2
ENSMUSG00000099845,0,0,0,0,3,0,0
ENSMUSG00000139014,0,0,0,0,0,0,0
ENSMUSG00000138973,1,5,0,4,6,4,15
ENSMUSG00000103561,0,9,6,5,7,0,4
ENSMUSG00000134440,2,0,0,1,2,0,3
ENSMUSG00000101610,0,3,3,0,0,0,0
ENSMUSG00000141382,0,0,0,0,1,0,2
ENSMUSG00000118923,0,0,0,0,0,0,0
ENSMUSG00000098555,0,0,0,1,0,0,0
ENSMUSG00000143719,0,2,0,0,1,0,0
ENSMUSG00000097628,2,1,0,8,5,3,2
ENSMUSG00000098163,0,2,3,3,0,3,0
ENSMUSG00000097171,1,1,2,3,9,0,4
ENSMUSG00000101314,2,0,2,2,1,0,0
ENSMUSG00000016918,82,89,51,68,107,118,49
ENSMUSG00000127288,0,0,1,2,7,1,2
ENSMUSG00000025938,17,18,15,48,41,10,17
ENSMUSG00000104518,0,0,0,0,0,0,2
ENSMUSG00000141815,0,0,0,0,2,0,0
ENSMUSG00000069620,0,0,0,0,0,0,0
ENSMUSG00000099498,0,0,1,5,4,0,1
ENSMUSG00000042414,0,9,0,8,0,0,2
ENSMUSG00000005886,571,623,263,671,745,784,658
ENSMUSG00000103506,10,11,3,16,18,11,12
ENSMUSG00000103495,4,25,2,13,14,6,12
ENSMUSG00002076346,0,0,0,0,1,0,0
ENSMUSG00000102639,8,1,0,1,8,2,6
ENSMUSG00000104170,9,7,3,11,16,3,5
ENSMUSG00000134412,0,0,3,0,5,0,0
ENSMUSG00000087782,0,0,0,0,0,0,0
ENSMUSG00000103085,35,28,26,28,51,32,21
ENSMUSG00000102664,19,11,10,33,39,26,24
ENSMUSG00000134452,2,6,1,3,8,4,3
ENSMUSG00000101476,0,0,1,3,11,0,0
ENSMUSG00000134491,3,4,0,7,3,5,0
ENSMUSG00000122424,3,0,0,3,3,0,0
ENSMUSG00000101171,0,0,0,5,0,0,3
ENSMUSG00000126000,0,2,0,1,1,0,0
ENSMUSG00000025935,3214,3890,1634,3851,4197,3671,2334
ENSMUSG00000120948,0,3,0,3,1,3,10
ENSMUSG00000131318,0,0,0,0,1,0,0
ENSMUSG00000025937,13051,13956,6598,13302,15918,13213,7955
ENSMUSG00000102982,123,137,66,149,177,98,72
ENSMUSG00000067813,14,12,7,19,21,8,4
ENSMUSG00000077368,0,5,0,9,0,0,0
ENSMUSG00000097711,1,1,2,2,10,0,1
ENSMUSG00000134219,8,9,2,10,11,2,4
ENSMUSG00000102166,5,4,1,5,12,1,5
ENSMUSG00002075174,0,0,3,5,5,0,0
ENSMUSG00000104209,0,1,0,3,5,0,0
ENSMUSG00000025932,8,4,4,21,11,13,17
ENSMUSG00002075819,0,0,0,0,0,0,0
ENSMUSG00000102588,0,0,0,3,0,0,1
ENSMUSG00000127312,2,6,0,14,2,0,6
ENSMUSG00000127278,5,8,1,11,6,0,2
ENSMUSG00000140763,0,0,1,4,0,0,1
ENSMUSG00000140464,5,0,0,0,2,0,0
ENSMUSG00000134469,0,0,0,0,1,0,0
ENSMUSG00000054493,9,8,3,18,9,1,10
ENSMUSG00000025930,2,3,0,3,9,1,4
ENSMUSG00000103492,5,10,5,14,8,0,6
ENSMUSG00000081201,0,0,0,0,0,0,0
ENSMUSG00000082193,3,6,1,3,9,0,1
ENSMUSG00000032769,5,6,5,10,16,0,7
ENSMUSG00000088159,0,0,0,0,0,0,0
ENSMUSG00000125466,4,3,0,13,7,0,2
ENSMUSG00000073737,1,0,0,0,3,2,0
ENSMUSG00000092083,36,34,12,92,81,8,45
ENSMUSG00000128216,0,0,0,1,0,0,1
ENSMUSG00000102937,1,5,3,5,8,0,7
ENSMUSG00000104149,3,7,3,4,13,7,0
ENSMUSG00000137925,14,25,2,32,39,27,31
ENSMUSG00000088829,3,1,0,1,0,0,0
ENSMUSG00000132707,0,0,2,1,0,0,0
ENSMUSG00000077377,0,0,0,0,0,0,0
ENSMUSG00000101652,0,0,0,2,2,0,0
ENSMUSG00000100814,0,0,0,1,2,0,0
ENSMUSG00000132745,2,0,0,2,10,0,0
