Geneid,age3_SRR9126950,age3_SRR9127139,age3_SRR9127244,age18_SRR9126754,age18_SRR9126924,age18_SRR9127382,age18_SRR9127568
ENSMUSG00000102871,6,6,12,13,9,4,18
ENSMUSG00000101571,0,7,0,0,10,0,2
ENSMUSG00000135814,0,4,0,4,4,0,0
ENSMUSG00000104428,2,0,0,5,9,0,0
ENSMUSG00000102272,1,7,2,9,0,0,1
ENSMUSG00000065625,0,2,0,0,9,0,0
ENSMUSG00000079671,218,235,121,225,225,160,154
ENSMUSG00000103411,9,6,1,12,11,0,4
ENSMUSG00000061024,294,529,218,465,571,483,242
ENSMUSG00000025911,10371,13213,5122,9112,11676,10643,5508
ENSMUSG00000081441,0,9,3,3,8,9,2
ENSMUSG00000067879,10,7,7,23,25,6,6
ENSMUSG00000099827,0,0,0,2,6,0,3
ENSMUSG00000025912,32,53,17,31,51,37,28
ENSMUSG00000123215,11,11,2,0,15,3,11
ENSMUSG00000045210,805,822,439,867,1043,963,641
ENSMUSG00000097893,117,150,82,94,177,122,95
ENSMUSG00000128816,0,0,0,2,1,0,2
ENSMUSG00000025915,696,1021,457,986,1232,1008,488
ENSMUSG00000046334,0,0,0,0,0,0,0
ENSMUSG00002075801,4,0,0,0,1,0,0
ENSMUSG00000098234,204,223,83,245,236,144,179
ENSMUSG00000046101,39,39,17,42,46,27,43
ENSMUSG00000093178,0,0,0,0,0,0,0
ENSMUSG00000099032,529,725,250,635,846,1010,401
ENSMUSG00000104025,11,1,0,16,12,13,6
ENSMUSG00000025916,1,6,0,15,9,2,4
ENSMUSG00000087199,0,0,0,0,0,0,3
ENSMUSG00000121270,4,0,2,22,1,0,0
ENSMUSG00000119658,0,0,0,0,0,0,0
ENSMUSG00000025917,1047,1458,642,1249,1511,1263,743
ENSMUSG00000056763,1067,1172,564,1243,1150,1065,726
ENSMUSG00000137212,11,20,1,22,10,6,6
ENSMUSG00000102356,0,0,0,0,0,0,0
ENSMUSG00000067851,2669,2651,1042,2531,3027,2403,1655
ENSMUSG00002076532,1,2,3,5,5,3,1
ENSMUSG00000102556,21,10,20,42,50,32,21
ENSMUSG00000127523,8,12,10,5,5,7,6
ENSMUSG00000123573,0,2,0,2,4,1,0
ENSMUSG00000042501,4,15,4,38,30,2,11
ENSMUSG00000103810,0,0,6,7,6,0,0
ENSMUSG00000130625,0,1,1,19,14,0,5
ENSMUSG00000083422,10,16,0,8,14,0,4
ENSMUSG00000119312,1,0,0,4,0,0,0
ENSMUSG00000137678,3,0,0,4,2,0,0
ENSMUSG00000081417,0,0,0,0,4,0,0
ENSMUSG00000103448,8,10,10,28,24,0,8
ENSMUSG00000100212,0,0,0,0,0,0,0
ENSMUSG00000125508,1,0,0,1,2,0,4
ENSMUSG00000100648,0,2,0,8,4,0,0
ENSMUSG00000130062,0,6,0,0,0,0,2
ENSMUSG00002076499,0,0,0,0,0,0,0
ENSMUSG00000048960,544,839,346,705,1008,690,540
ENSMUSG00000127757,3,1,2,1,4,0,2
ENSMUSG00000127802,0,2,1,0,4,9,5
ENSMUSG00000077318,0,0,0,1,2,0,0
ENSMUSG00000101827,1,6,0,13,3,1,0
ENSMUSG00000122491,3,1,1,7,7,0,10
ENSMUSG00000103494,5,4,0,15,12,0,14
ENSMUSG00000143092,0,4,0,1,4,0,5
ENSMUSG00000057715,29,29,12,115,46,0,38
ENSMUSG00000103825,0,6,6,11,15,0,4
ENSMUSG00000099845,0,0,0,0,4,1,1
ENSMUSG00000139014,0,0,0,0,0,0,1
ENSMUSG00000138973,5,5,0,8,14,4,20
ENSMUSG00000103561,1,16,12,14,14,0,4
